param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
L_Au,1.1000000000000008e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.5012687790888142,0.5595336238452788,-0.05826484475646465,2.402330348274302e-10,7.48784433227821e-10,-5.085513984003908e-10,2.402330348274302e-10,7.48784433227821e-10,-5.085513984003908e-10,0.32083070128988406,-67.91692987101159,0.32083070128988406,-67.91692987101159,3.1588677965467067,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.5284450438104508e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.49680969059728575,0.5498248389494304,-0.0530151483521446,2.7409368309504075e-10,8.612161070998848e-10,-5.871224240048441e-10,2.7409368309504075e-10,8.612161070998848e-10,-5.871224240048441e-10,0.31826353552308917,-68.17364644769108,0.31826353552308917,-68.17364644769108,3.0516284038658306,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.52845e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.1237675017715806e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4922710220980702,0.5401160540710273,-0.04784503197295703,3.134676836640076e-10,9.905296510812562e-10,-6.770619674172485e-10,3.134676836640076e-10,9.905296510812562e-10,-6.770619674172485e-10,0.316464714934912,-68.3535285065088,0.316464714934912,-68.3535285065088,2.9424677645959783,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.12377e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.9509653748077024e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.48765213961703796,0.5304072691578149,-0.042755129540776926,3.593509355623601e-10,1.1392599150405107e-09,-7.799089794781506e-10,3.593509355623601e-10,1.1392599150405107e-09,-7.799089794781506e-10,0.31542489191290646,-68.45751080870936,0.31542489191290646,-68.45751080870936,2.829523612010499,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.95097e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,4.100353092346435e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.48295470724361755,0.5206984842618655,-0.03774377701824794,4.129134824854535e-10,1.3103223644416861e-09,-8.974088819562326e-10,4.129134824854535e-10,1.3103223644416861e-09,-8.974088819562326e-10,0.31512358614240044,-68.48764138575996,0.31512358614240044,-68.48764138575996,2.7168494590376007,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=4.10035e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,5.697422147154327e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4781869214651405,0.5109896993661576,-0.032802777901017044,4.754328952514485e-10,1.5070702269929938e-09,-1.0316373317415453e-09,4.754328952514485e-10,1.5070702269929938e-09,-1.0316373317415453e-09,0.31546830846765755,-68.45316915323424,0.31546830846765755,-68.45316915323424,2.5997918458002154,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=5.69742e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,7.916542403012688e-09,7.0,0.1,0.834,8.85e-05,0.0003878,0.4733593043788172,0.5012809144705006,-0.027921610091683424,5.483838316197864e-10,1.7333602254882839e-09,-1.1849763938684975e-09,5.483838316197864e-10,1.7333602254882839e-09,-1.1849763938684975e-09,0.31637037907992144,-68.36296209200786,0.31637037907992144,-68.36296209200786,2.482946813379259,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=7.91654e-09<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.1000000000000008e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4684838727390881,0.4915721295774951,-0.023088256838406984,6.334598027810437e-10,1.9936281784656755e-09,-1.360168375684632e-09,6.334598027810437e-10,1.9936281784656755e-09,-1.360168375684632e-09,0.3177421996856823,-68.22578003143178,0.3177421996856823,-68.22578003143178,2.3663910320143895,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,1.5284450438104506e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.46357139483687615,0.4818633446748299,-0.018291949837953736,7.32493826640716e-10,2.292975952015498e-09,-1.5604821253747821e-09,7.32493826640716e-10,2.292975952015498e-09,-1.5604821253747821e-09,0.31945115952780173,-68.05488404721983,0.31945115952780173,-68.05488404721983,2.244801085734368,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.52845e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
L_Au,2.123767501771576e-08,7.0,0.1,0.834,8.85e-05,0.0003878,0.4586306368567821,0.4721545597825999,-0.013523922925817777,8.477813173775783e-10,2.637271470368237e-09,-1.7894901529906585e-09,8.477813173775783e-10,2.637271470368237e-09,-1.7894901529906585e-09,0.3214615282890101,-67.85384717109899,0.3214615282890101,-67.85384717109899,2.1265468258707774,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=2.12377e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
