param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
epsilon_r,58.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.4675530531995735,0.49157212957749513,-0.02401907637792161,5.99716628803268e-10,1.993628178465674e-09,-1.393911549662406e-09,5.99716628803268e-10,1.993628178465674e-09,-1.393911549662406e-09,0.30081668953175555,-69.91833104682445,0.30081668953175555,-69.91833104682445,2.4724607701997385,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=58.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,61.357142857142854,7.0,0.1,0.834,8.85e-05,0.0003878,0.4677003320217579,0.49157212957749513,-0.023871797555737206,6.049097683721894e-10,1.993628178465674e-09,-1.3887184100934845e-09,6.049097683721894e-10,1.993628178465674e-09,-1.3887184100934845e-09,0.3034215581953386,-69.65784418046614,0.3034215581953386,-69.65784418046614,2.455660811093477,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=61.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,64.21428571428571,7.0,0.1,0.834,8.85e-05,0.0003878,0.4678422562987961,0.4915721295774951,-0.023729873278698965,6.099649751893148e-10,1.9936281784656743e-09,-1.3836632032763594e-09,6.099649751893148e-10,1.9936281784656743e-09,-1.3836632032763594e-09,0.3059572400600562,-69.40427599399437,0.3059572400600562,-69.40427599399437,2.4394866305982728,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=64.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,67.07142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.46797921736367754,0.49157212957749513,-0.023592912213817596,6.148913488493585e-10,1.9936281784656743e-09,-1.3787368296163159e-09,6.148913488493585e-10,1.9936281784656743e-09,-1.3787368296163159e-09,0.308428299464842,-69.15717005351581,0.308428299464842,-69.15717005351581,2.423882265268249,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=67.0714<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,69.92857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.4681115634935805,0.4915721295774951,-0.023460566083914558,6.196970357955132e-10,1.9936281784656743e-09,-1.373931142670161e-09,6.196970357955132e-10,1.9936281784656743e-09,-1.373931142670161e-09,0.3108388226496885,-68.91611773503115,0.3108388226496885,-68.91611773503115,2.408794919667118,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=69.9286<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,72.78571428571429,7.0,0.1,0.834,8.85e-05,0.0003878,0.4682396061507422,0.4915721295774951,-0.02333252342675285,6.243893635173363e-10,1.9936281784656743e-09,-1.369238814948338e-09,6.243893635173363e-10,1.9936281784656743e-09,-1.369238814948338e-09,0.31319248506904407,-68.68075149309558,0.31319248506904407,-68.68075149309558,2.3942169168259273,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=72.7857<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,75.64285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.46836362511508,0.4915721295774951,-0.02320850446241507,6.289749513650962e-10,1.9936281784656743e-09,-1.364653227100578e-09,6.289749513650962e-10,1.9936281784656743e-09,-1.364653227100578e-09,0.31549260697607345,-68.45073930239265,0.31549260697607345,-68.45073930239265,2.3800913617857926,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=75.6429<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,78.5,7.0,0.1,0.834,8.85e-05,0.0003878,0.468483872739088,0.4915721295774951,-0.023088256838407095,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,6.334598027810424e-10,1.9936281784656743e-09,-1.360168375684632e-09,0.3177421996856818,-68.22578003143182,0.3177421996856818,-68.22578003143182,2.366391032014395,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,81.35714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.46860057750104905,0.49157212957749513,-0.022971552076446078,6.378493826242012e-10,1.9936281784656743e-09,-1.3557787958414732e-09,6.378493826242012e-10,1.9936281784656743e-09,-1.3557787958414732e-09,0.31994400436048187,-68.00559956395182,0.31994400436048187,-68.00559956395182,2.353103852581972,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=81.3571<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
epsilon_r,84.21428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.46871394699241137,0.4915721295774951,-0.02285818258508371,6.421486824344953e-10,1.9936281784656743e-09,-1.351479496031179e-09,6.421486824344953e-10,1.9936281784656743e-09,-1.351479496031179e-09,0.3221005247471484,-67.78994752528516,0.3221005247471484,-67.78994752528516,2.340190550240699,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=84.2143<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=1.2<br>Cdl_C=0.1<br>Cdl_Pd=0.377<br>pzc_Au=0.513<br>pzc_C=0.361<br>pzc_Pd=0.371<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
