param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
pzc_Pd,0.5800000000000001,7.0,0.1,0.834,8.85e-05,0.0003878,0.5782431240793973,0.4915721295774951,0.08667099450190219,5.838539616080362e-10,1.9936281784656743e-09,-1.409774216857638e-09,5.838539616080362e-10,1.9936281784656743e-09,-1.409774216857638e-09,0.01216362420016742,0.04153392038470155,-0.029370296184534128,0.29286000665248363,-70.71399933475163,0.29286000665248363,-70.71399933475163,0.29286000665248363,-70.71399933475163,6.376668188844253,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.58<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.6085714285714287,7.0,0.1,0.834,8.85e-05,0.0003878,0.5858323248690035,0.4915721295774951,0.09426019529150842,7.231212634097939e-10,1.9936281784656743e-09,-1.2705069150558804e-09,7.231212634097939e-10,1.9936281784656743e-09,-1.2705069150558804e-09,0.015065026321037372,0.04153392038470155,-0.026468894063664178,0.362716213193936,-63.7283786806064,0.36271621319393604,-63.7283786806064,0.36271621319393604,-63.7283786806064,6.238294445263509,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.608571<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.6371428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.5934253551419666,0.4915721295774951,0.10185322556447152,8.957160850865237e-10,1.9936281784656743e-09,-1.0979120933791507e-09,8.957160850865237e-10,1.9936281784656743e-09,-1.0979120933791507e-09,0.01866075177263591,0.04153392038470155,-0.02287316861206564,0.4492894386032806,-55.071056139671946,0.44928943860328063,-55.071056139671946,0.44928943860328063,-55.071056139671946,6.099851197498079,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.637143<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.6657142857142857,7.0,0.1,0.834,8.85e-05,0.0003878,0.6010218735851118,0.4915721295774951,0.10944974400761676,1.1096288700775213e-09,1.9936281784656743e-09,-8.83999308388153e-10,1.1096288700775213e-09,1.9936281784656743e-09,-8.83999308388153e-10,0.023117268126615027,0.04153392038470155,-0.018416652258086523,0.5565876737012756,-44.34123262987244,0.5565876737012756,-44.34123262987244,0.5565876737012756,-44.34123262987244,5.961344640298483,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.665714<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.6942857142857143,7.0,0.1,0.834,8.85e-05,0.0003878,0.6086215730211344,0.4915721295774951,0.11704944344363932,1.3747681630963433e-09,1.9936281784656743e-09,-6.18860015369331e-10,1.3747681630963433e-09,1.9936281784656743e-09,-6.18860015369331e-10,0.028641003397840484,0.04153392038470155,-0.012892916986861066,0.6895810251610635,-31.041897483893656,0.6895810251610635,-31.041897483893656,0.6895810251610635,-31.041897483893656,5.822780348857519,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.694286<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.7228571428571429,7.0,0.1,0.834,8.85e-05,0.0003878,0.616224176789533,0.4915721295774951,0.12465204721203793,1.7034214581869822e-09,1.9936281784656743e-09,-2.902067202786921e-10,1.7034214581869822e-09,1.9936281784656743e-09,-2.902067202786921e-10,0.03548794704556213,0.04153392038470155,-0.006045973339139421,0.8544328759929348,-14.556712400706514,0.8544328759929349,-14.556712400706507,0.8544328759929349,-14.556712400706507,5.684163344495495,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.722857<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.7514285714285714,7.0,0.1,0.834,8.85e-05,0.0003878,0.6238294355198903,0.4915721295774951,0.13225730594239526,2.110826848192754e-09,1.9936281784656743e-09,1.1719866972707965e-10,2.110826848192754e-09,1.9936281784656743e-09,1.1719866972707965e-10,0.04397555933734904,0.04153392038470155,0.0024416389526474916,1.0587866238012735,5.878662380127342,1.0587866238012735,5.878662380127346,1.0587866238012735,5.878662380127346,5.545498153224434,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.751429<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.78,7.0,0.1,0.834,8.85e-05,0.0003878,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.8085714285714286,7.0,0.1,0.834,8.85e-05,0.0003878,0.6390470396704976,0.4915721295774951,0.1474749100930025,3.242024422027166e-09,1.9936281784656743e-09,1.2483962435614916e-09,3.242024422027166e-09,1.9936281784656743e-09,1.2483962435614916e-09,0.06754217545889929,0.04153392038470155,0.02600825507419774,1.626193117175077,62.61931171750771,1.6261931171750772,62.61931171750772,1.6261931171750772,62.61931171750772,5.268039148997026,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.808571<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
pzc_Pd,0.8371428571428572,7.0,0.1,0.834,8.85e-05,0.0003878,0.6466589982299988,0.4915721295774951,0.15508686865250376,4.018321374243675e-09,1.9936281784656743e-09,2.024693195778001e-09,4.018321374243675e-09,1.9936281784656743e-09,2.024693195778001e-09,0.08371502863007657,0.04153392038470155,0.04218110824537502,2.015582152002002,101.55821520020021,2.015582152002002,101.55821520020021,2.015582152002002,101.55821520020021,5.129252357468474,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.837143<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
