param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params,value_M
C_tot,0.1,7.0,0.1,0.834,8.85e-05,0.0003878,0.6686650108674933,0.49157212957749513,0.17709288128999817,1.909425401254629e-09,1.993628178465674e-09,-8.420277721104492e-11,1.909425401254629e-09,1.993628178465674e-09,-8.420277721104492e-11,0.039779695859471435,0.041533920384701536,-0.0017542245252301011,0.9577640514311708,-4.2235948568829205,0.9577640514311707,-4.223594856882924,0.9577640514311707,-4.223594856882924,8.105806369039996,False,C_tot=0.0001 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0001
C_tot,0.193069772888325,7.0,0.1,0.834,8.85e-05,0.0003878,0.6667001708143989,0.4915721295774951,0.17512804123690384,1.9497907476635216e-09,1.993628178465674e-09,-4.383743080215225e-11,1.9497907476635216e-09,1.993628178465674e-09,-4.383743080215225e-11,0.04062064057632337,0.041533920384701536,-0.000913279808378166,0.9780112303409104,-2.1988769659089544,0.9780112303409103,-2.1988769659089686,0.9780112303409103,-2.1988769659089686,7.978907334533282,False,C_tot=0.00019307 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.00019306977288832499
C_tot,0.372759372031494,7.0,0.1,0.834,8.85e-05,0.0003878,0.6640236262001791,0.4915721295774951,0.172451496622684,2.006493642026433e-09,1.993628178465674e-09,1.2865463560759232e-11,2.006493642026433e-09,1.993628178465674e-09,1.2865463560759232e-11,0.04180195087555069,0.041533920384701536,0.0002680304908491554,1.0064532913909057,0.6453291390905658,1.0064532913909054,0.6453291390905542,1.0064532913909054,0.6453291390905542,7.796288795167349,False,C_tot=0.000372759 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.000372759372031494
C_tot,0.7196856730011519,7.0,0.1,0.834,8.85e-05,0.0003878,0.6604166576450611,0.4915721295774951,0.168844528067566,2.0839047012733193e-09,1.9936281784656743e-09,9.0276522807645e-11,2.0839047012733193e-09,1.9936281784656743e-09,9.0276522807645e-11,0.043414681276527485,0.04153392038470155,0.0018807608918259347,1.0452825274957354,4.528252749573544,1.0452825274957356,4.528252749573551,1.0452825274957356,4.528252749573551,7.536577688579076,False,C_tot=0.000719686 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.000719685673001152
C_tot,1.3894954943731375,7.0,0.1,0.834,8.85e-05,0.0003878,0.6556241018281176,0.4915721295774951,0.1640519722506225,2.1853781519323543e-09,1.9936281784656743e-09,1.9174997346667999e-10,2.1853781519323543e-09,1.9936281784656743e-09,1.9174997346667999e-10,0.04552871149859072,0.04153392038470155,0.0039947911138891665,1.0961814121298454,9.61814121298454,1.0961814121298454,9.61814121298454,1.0961814121298454,9.61814121298454,7.176215260383714,False,C_tot=0.0013895 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0013894954943731374
C_tot,2.6826957952797246,7.0,0.1,0.834,8.85e-05,0.0003878,0.6493670436700754,0.49157212957749513,0.15779491409258023,2.3116076161771155e-09,1.9936281784656743e-09,3.179794377114412e-10,2.3116076161771155e-09,1.9936281784656743e-09,3.179794377114412e-10,0.04815849200368991,0.04153392038470155,0.006624571618988356,1.159497864820592,15.949786482059196,1.159497864820592,15.949786482059203,1.159497864820592,15.949786482059203,6.696973113531737,False,C_tot=0.0026827 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.0026826957952797246
C_tot,5.17947467923121,7.0,0.1,0.834,8.85e-05,0.0003878,0.6413721783756972,0.49157212957749513,0.14980004879820202,2.4587208943332076e-09,1.9936281784656743e-09,4.6509271586753326e-10,2.4587208943332076e-09,1.9936281784656743e-09,4.6509271586753326e-10,0.05122335196527516,0.04153392038470155,0.009689431580573608,1.2332895977751857,23.328959777518566,1.2332895977751857,23.32895977751857,1.2332895977751857,23.32895977751857,6.098345029676935,False,C_tot=0.00517947 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.00517947467923121
C_tot,10.0,7.0,0.1,0.834,8.85e-05,0.0003878,0.6314371241995458,0.4915721295774951,0.1398649946220507,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,2.615882126694787e-09,1.9936281784656743e-09,6.222539482291126e-10,0.05449754430614139,0.04153392038470155,0.012963623921439842,1.3121213649317538,31.212136493175382,1.312121364931754,31.212136493175397,1.312121364931754,31.212136493175397,5.4067888589689534,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.01
C_tot,19.306977288832496,7.0,0.1,0.834,8.85e-05,0.0003878,0.6195406611788676,0.49157212957749513,0.1279685316013725,2.76278277887942e-09,1.9936281784656743e-09,7.691546004137456e-10,2.76278277887942e-09,1.9936281784656743e-09,7.691546004137456e-10,0.057557974559987915,0.04153392038470155,0.016024054175286365,1.3858064451144034,38.580644511440354,1.3858064451144037,38.58064451144036,1.3858064451144037,38.58064451144036,4.669945701302339,False,C_tot=0.019307 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.019306977288832496
C_tot,37.27593720314938,7.0,0.1,0.834,8.85e-05,0.0003878,0.6059449352953,0.49157212957749513,0.11437280571780489,2.8716022856269558e-09,1.9936281784656743e-09,8.779741071612815e-10,2.8716022856269558e-09,1.9936281784656743e-09,8.779741071612815e-10,0.05982504761722825,0.04153392038470155,0.018291127232526697,1.440390097132848,44.03900971328481,1.4403900971328483,44.03900971328482,1.4403900971328483,44.03900971328482,3.9376187483563774,False,C_tot=0.0372759 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.4<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878,0.03727593720314938
