param,value,pH,E1_eq_eff,E2_eq_eff,it0_1_eff,it0_2_eff,E_mix_with_edl_FULL,E_mix_without_edl,delta_E_mix,i_mix_phys_with_edl_FULL_A_per_m,i_mix_phys_without_edl_A_per_m,delta_i_mix_phys_A_per_m,i_mix_abs_with_edl_FULL_A,i_mix_abs_without_edl_A,delta_i_mix_abs_A,i_mix_avg_with_edl_FULL_A_per_m2,i_mix_avg_without_edl_A_per_m2,delta_i_mix_avg_A_per_m2,ratio_i_mix_avg,pct_i_mix_avg,ratio_i_mix_abs,pct_i_mix_abs,ratio_i_mix_phys,pct_i_mix_phys,max_abs_phi_tilde_with_edl,debye_huckel_ok_with_edl,hover_params
Cdl_Pd,0.01,7.0,0.1,0.834,8.85e-05,0.0003878,0.5820826011089013,0.4915721295774951,0.09051047153140623,6.5066341379936e-10,1.9936281784656743e-09,-1.3429647646663142e-09,6.5066341379936e-10,1.9936281784656743e-09,-1.3429647646663142e-09,0.013555487787486666,0.04153392038470155,-0.027978432597214886,0.3263714973672373,-67.36285026327627,0.3263714973672373,-67.36285026327626,0.3263714973672373,-67.36285026327626,6.306955432569913,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.01<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.015341274046343906,7.0,0.1,0.834,8.85e-05,0.0003878,0.5843377898824447,0.4915721295774951,0.0927656603049496,6.933799382355303e-10,1.9936281784656743e-09,-1.300248240230144e-09,6.933799382355303e-10,1.9936281784656743e-09,-1.300248240230144e-09,0.01444541537990688,0.04153392038470155,-0.02708850500479467,0.3477980225827093,-65.22019774172907,0.3477980225827093,-65.22019774172905,0.3477980225827093,-65.22019774172905,6.2659002831957125,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0153413<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.023535468936502525,7.0,0.1,0.834,8.85e-05,0.0003878,0.5875276227763713,0.4915721295774951,0.0959554931988762,7.586316350639667e-10,1.9936281784656743e-09,-1.2349965434017075e-09,7.586316350639667e-10,1.9936281784656743e-09,-1.2349965434017075e-09,0.01580482573049931,0.04153392038470155,-0.025729094654202242,0.3805281462503308,-61.94718537496692,0.3805281462503308,-61.94718537496692,0.3805281462503308,-61.94718537496692,6.207825268753815,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0235355<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.036106407876409945,7.0,0.1,0.834,8.85e-05,0.0003878,0.5918744657958913,0.4915721295774951,0.10030233621839624,8.575475070510941e-10,1.9936281784656743e-09,-1.1360806714145801e-09,8.575475070510941e-10,1.9936281784656743e-09,-1.1360806714145801e-09,0.01786557306356446,0.04153392038470155,-0.023668347321137092,0.43014415441854115,-56.98558455814588,0.4301441544185412,-56.985584558145874,0.4301441544185412,-56.985584558145874,6.128674824661957,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0361064<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.05539182980610754,7.0,0.1,0.834,8.85e-05,0.0003878,0.5975061722496463,0.4915721295774951,0.10593404267215123,1.0051203223267864e-09,1.9936281784656743e-09,-9.88507856138888e-10,1.0051203223267864e-09,1.9936281784656743e-09,-9.88507856138888e-10,0.020940006715141384,0.04153392038470155,-0.020593913669560166,0.5041663902946746,-49.58336097053253,0.5041663902946746,-49.58336097053254,0.5041663902946746,-49.58336097053254,6.026106721903611,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0553918<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.08497812409839364,7.0,0.1,0.834,8.85e-05,0.0003878,0.6043429527830045,0.4915721295774951,0.11277082320550946,1.2187989864541669e-09,1.9936281784656743e-09,-7.748291920115074e-10,1.2187989864541669e-09,1.9936281784656743e-09,-7.748291920115074e-10,0.025391645551128477,0.04153392038470155,-0.016142274833573073,0.6113471908248069,-38.86528091751931,0.6113471908248069,-38.86528091751931,0.6113471908248069,-38.86528091751931,5.901547743202784,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.0849781<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.1303672689737678,7.0,0.1,0.834,8.85e-05,0.0003878,0.6120163053688855,0.4915721295774951,0.12044417579139044,1.5131605240259784e-09,1.9936281784656743e-09,-4.804676544396959e-10,1.5131605240259784e-09,1.9936281784656743e-09,-4.804676544396959e-10,0.03152417758387455,0.04153392038470155,-0.010009742800826997,0.7589983630701534,-24.10016369298466,0.7589983630701534,-24.100163692984662,0.7589983630701534,-24.100163692984662,5.761666843962985,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.130367<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.20000000000000004,7.0,0.1,0.834,8.85e-05,0.0003878,0.6199065755715373,0.4915721295774951,0.1283344459940422,1.890099541320594e-09,1.9936281784656743e-09,-1.035286371450801e-10,1.890099541320594e-09,1.9936281784656743e-09,-1.035286371450801e-10,0.03937707377751238,0.04153392038470155,-0.002156846607189171,0.9480702378390551,-5.192976216094486,0.9480702378390552,-5.192976216094481,0.9480702378390552,-5.192976216094481,5.617692523985742,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.2<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.30682548092687817,7.0,0.1,0.834,8.85e-05,0.0003878,0.6273239365522143,0.4915721295774951,0.13575180697471922,2.329590299282767e-09,1.9936281784656743e-09,3.359621208170928e-10,2.329590299282767e-09,1.9936281784656743e-09,3.359621208170928e-10,0.04853313123505765,0.04153392038470155,0.006999210850356097,1.1685179435393285,16.85179435393284,1.1685179435393285,16.85179435393285,1.1685179435393285,16.85179435393285,5.482125083969295,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.306825<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
Cdl_Pd,0.47070937873005037,7.0,0.1,0.834,8.85e-05,0.0003878,0.6337337924257522,0.4915721295774951,0.14216166284825715,2.790749551351849e-09,1.9936281784656743e-09,7.971213728861745e-10,2.790749551351849e-09,1.9936281784656743e-09,7.971213728861745e-10,0.058140615653163516,0.04153392038470155,0.016606695268461966,1.3998345235567702,39.98345235567701,1.3998345235567702,39.98345235567702,1.3998345235567702,39.98345235567702,5.364646565586421,False,C_tot=0.01 M<br>lambda_D=None<br>epsilon_r=78.5<br>T=298<br>pH=7<br>L_Au=1.1e-08<br>L_gap=1e-08<br>L_Pd_len=3.7e-08<br>Cdl_Au=0.2<br>Cdl_C=0.1<br>Cdl_Pd=0.470709<br>pzc_Au=0.93<br>pzc_C=0.5<br>pzc_Pd=0.78<br>it0_1=8.85e-05<br>it0_2=0.0003878<br>alpha1=0.5<br>alpha2=0.37<br>z_R1=-1<br>z_O2=1<br>E1_eq=0.1<br>E2_eq=0.834<br>E1_eq_eff=0.1<br>E2_eq_eff=0.834<br>it0_1_eff=8.85e-05<br>it0_2_eff=0.0003878
