param,value,mode,E_mix,i_mix,residual,converged,method
alpha2,0.16999999999999998,MEAN,0.3762652493653452,0.008321756826142302,0.0,True,closed_form(D5-6/D5-8)
alpha2,0.19857142857142857,MEAN,0.3866513333616855,0.011559139680693973,-8.673617379884035e-18,True,closed_form(D5-6/D5-8)
alpha2,0.22714285714285715,MEAN,0.3967281577700066,0.01589961492719826,-3.8163916471489756e-17,True,closed_form(D5-6/D5-8)
alpha2,0.2557142857142857,MEAN,0.40650933288672936,0.0216663281902907,-4.163336342344337e-17,True,closed_form(D5-6/D5-8)
alpha2,0.2842857142857143,MEAN,0.4160076819153436,0.02926158473942868,-3.122502256758253e-17,True,closed_form(D5-6/D5-8)
alpha2,0.31285714285714283,MEAN,0.4252352970531902,0.03918233704879005,2.7755575615628914e-17,True,closed_form(D5-6/D5-8)
alpha2,0.3414285714285714,MEAN,0.4342035908496646,0.05203788200059721,-6.938893903907228e-17,True,closed_form(D5-6/D5-8)
alpha2,0.37,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8)
alpha2,0.3985714285714286,MEAN,0.45140474504463013,0.08967531387165234,1.249000902703301e-16,True,closed_form(D5-6/D5-8)
alpha2,0.42714285714285716,MEAN,0.45965743715409774,0.11643121288018692,-1.8041124150158794e-16,True,closed_form(D5-6/D5-8)
alpha2,0.45571428571428574,MEAN,0.4676905476326303,0.15012352926074532,-5.551115123125783e-16,True,closed_form(D5-6/D5-8)
alpha2,0.4842857142857143,MEAN,0.4755127251243706,0.192278079150009,5.828670879282072e-16,True,closed_form(D5-6/D5-8)
alpha2,0.5128571428571429,MEAN,0.4831321699679777,0.24469501749653377,1.1102230246251565e-16,True,closed_form(D5-6/D5-8)
alpha2,0.5414285714285715,MEAN,0.4905566628726095,0.3094865153640311,4.440892098500626e-16,True,closed_form(D5-6/D5-8)
alpha2,0.5700000000000001,MEAN,0.497793591420586,0.38911780087075626,-2.1094237467877974e-15,True,closed_form(D5-6/D5-8)
