run,R,F,T,epsilon0,epsilon_r,epsilon_s,C_tot,lambda_D,L_Au,L_gap,L_Pd_len,Cdl_Au,Cdl_C,Cdl_Pd,g_Au,g_C,g_Pd,pzc_Au,pzc_C,pzc_Pd,it0_1,it0_2,alpha1,alpha2,z_R1,z_O2,E1_eq,E2_eq,N_modes,Nx,xtol,max_bracket_expands,use_edl,use_affine_phi2,use_closed_form_when_affine,do_self_checks,do_convergence_check,do_ofat,do_heatmaps,do_sensitivities,ofat_n,heatmap_nx,heatmap_ny,scan_mode,ofat_L_gap_min,ofat_L_gap_max,mode,E_mix,i_mix,residual,converged,method,iterations,a1,b1,a2,b2,phi2_1_meanV,phi2_2_meanV
baseline:FULL,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,FULL,0.44353453490118605,0.07029377483226835,2.936165199862728e-11,True,brentq,15,0.6248610819651618,-0.22580644470723008,0.3267161174840782,-0.11797227973451423,0.051341024660039876,0.02693760147850768
baseline:MEAN,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8),0,0.6248610819651618,-0.22580644470723008,0.3267161174840782,-0.11797227973451423,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.01,9.617175390145177e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.016603910962771896,138.3659246897658,0.005216395360804171,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4282240833630199,0.017649309924190747,-4.85722573273506e-17,True,closed_form(D5-6/D5-8),0,0.8233542563006981,-0.29749428222168944,0.6519896041114926,-0.2354359355495962,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.013894954943731374,8.158662443397325e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.014085809948344432,117.38174956953694,0.004425291958771543,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.42977759925486264,0.021327624864183783,-8.326672684688674e-17,True,closed_form(D5-6/D5-8),0,0.8006675719337261,-0.28930116368578546,0.6091997762127638,-0.2199833858788169,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.019306977288832496,6.921343343026749e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.0119495968356937,99.57997363078083,0.0037541650058804375,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4315126850148861,0.025833446016538347,-6.938893903907228e-17,True,closed_form(D5-6/D5-8),0,0.7761164142183861,-0.28043462136726804,0.5639563391355706,-0.20364480848302186,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.02682695795279726,5.871672471365626e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.010137355612440583,84.47796343700486,0.0031848192215750836,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4334343181614675,0.03135688522704207,-2.7755575615628914e-17,True,closed_form(D5-6/D5-8),0,0.749711943770456,-0.2708986468967354,0.5168494056490522,-0.18663332243647116,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.0372759372031494,4.981191641898249e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.008599953640788655,71.66628033990546,0.0027018187688144357,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.43554299854442624,0.03812279526424423,2.2898349882893854e-16,True,closed_form(D5-6/D5-8),0,0.7214511799027803,-0.26069211285525745,0.4686349146995955,-0.1692219332335933,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.0517947467923121,4.225758554197109e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.007295709596391309,60.79757996992757,0.0022920687648662692,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4378342492887017,0.046389022490513666,-2.8449465006019636e-16,True,closed_form(D5-6/D5-8),0,0.691294507927025,-0.2498006477009935,0.4202105624352019,-0.15173484004992926,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.07196856730011521,3.5848922591472546e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.00618926342374969,51.57719519791409,0.001944460258961361,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.4402987622876784,0.056439291912188695,1.5265566588595902e-16,True,closed_form(D5-6/D5-8),0,0.6591478002971839,-0.23819017762918857,0.3725674328134436,-0.13452996678056786,,
ofat:C_tot,8.314,96485.0,298.0,8.8541878128e-12,78.5,,0.1,3.041217889017721e-08,1.1e-08,1e-08,3.7e-08,0.00012,1.0,3.77e-05,0.005250617670899842,43.75514725749868,0.0016495690516077001,0.513,0.361,0.371,8.85e-05,0.0003878,0.5,0.37,-1.0,1.0,0.1,0.834,80,1200,1e-10,12,True,True,True,False,False,True,False,False,15,25,25,MEAN,0.0,0.01,MEAN,0.44292334329449895,0.06856994377228688,-2.220446049250313e-16,True,closed_form(D5-6/D5-8),0,0.6248610819651618,-0.22580644470723008,0.3267161174840782,-0.11797227973451423,,
